dwell_mean,dwell_std,flight_mean,flight_std,score
0.5174,0.6813,1.2944,0.7671,0.9091
0.1200,0.0354,0.2165,0.0332,0.6662
0.1197,0.0357,0.2158,0.0334,0.6661
0.2422,0.2608,0.5896,0.2921,0.7748
0.1400,0.1472,0.3257,0.1800,0.7130
0.1400,0.1472,0.3257,0.1800,0.7130
0.1993,0.1556,0.4770,0.1254,0.7299
0.2833,0.2528,0.5617,0.4124,0.7895
0.0307,0.0009,0.0611,0.0009,0.6269
0.0310,0.0010,0.0617,0.0012,0.6271
0.0303,0.0008,0.0607,0.0012,0.6268
0.0301,0.0010,0.0607,0.0011,0.6268
0.0343,0.0085,0.0641,0.0072,0.6294
0.0298,0.0028,0.0591,0.0021,0.6269
0.0301,0.0019,0.0602,0.0016,0.6269
0.0306,0.0021,0.0619,0.0011,0.6271
0.0330,0.0052,0.0682,0.0068,0.6295
0.0333,0.0055,0.0685,0.0070,0.6297
0.0303,0.0002,0.0604,0.0003,0.6266
0.0306,0.0010,0.0605,0.0009,0.6268
0.1707,0.2429,0.2481,0.2645,0.7257
0.1707,0.2429,0.2481,0.2645,0.7257
0.4563,0.3215,0.9653,0.4695,0.8467
0.4563,0.3219,0.9656,0.4696,0.8467
0.8099,0.4885,1.7945,0.6655,0.9291
0.8099,0.4893,1.7945,0.6667,0.9292
0.5631,0.1935,1.1927,0.1150,0.8302
0.5630,0.1939,1.1930,0.1159,0.8303
0.6259,0.1514,1.1646,0.1748,0.8341
0.4814,0.1442,0.9676,0.2348,0.8136
0.4814,0.1442,0.9675,0.2348,0.8136
0.3614,0.2575,0.8389,0.3341,0.8118
0.3202,0.0913,0.6046,0.1002,0.7456
0.2686,0.1727,0.5315,0.2431,0.7576
0.2686,0.1724,0.5312,0.2431,0.7575
